smiles,Bioactivity
S(OC(CC(C)C)CCC(CCCC)CC)(O)(=O)=O,1
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,1
Clc1cc2[C@@H]3[C@@H](c4c(Oc2cc1)cccc4)CN(C3)C,1
O[C@H]1C[C@H]2[C@H]([C@@H]3CC[C@H]([C@@H](CCC(O)=O)C)[C@@]13C)[C@H](O)C[C@@H]1C[C@H](O)CC[C@@]12C,1
P(OCC(=O)[C@@]1(O)CC[C@H]2[C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C[C@]12C)(O)(O)=O,1
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,1
[H]C12OCC3(C)C1C(C)(C(O)CC3([H])OC(C)=O)C1CC([H])(OCC)OC3CC(C(C)=C3C1(C)C2([H])OC(=O)C(C)=CC)C1=COC=C1,1
O(C(=O)C(CC1(CCCC1)C(=O)NC1CCC(CC1)C(O)=O)COCCOC)c1cc2CCCc2cc1,0
Clc1cc(ccc1C1CCCCC1)C(=O)CCC(O)=O,1
Cc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O,0
OC1=CC(=CC=C1C(C)C)C,0
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,1
S(=O)(=O)(N(C[C@@H](OP(=O)(O)O)[C@@H](NC(=O)O[C@H]1CCOC1)Cc1ccccc1)CC(C)C)c1ccc(N)cc1,1
OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,1
OCC1OC(OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(OC2OCC(O)(CO)C2O)C(O)C1O,0
FC(F)(F)c1cc(N2CCN(CC2)CCOC(=O)c2ccccc2Nc2c3c(ncc2)cc(cc3)C(F)(F)F)ccc1,1
O=C1N2[C@@H](CCC2)C(=O)N(CC(=O)N([C@H](C(C)C)C(=O)O[C@@H]([C@H](NC(=O)c2c3nc4c(C(=O)N[C@H]5C(=O)N[C@@H](C(=O)N6[C@H](CCC6)C(=O)N(CC(=O)N([C@H](C(C)C)C(=O)O[C@@H]5C)C)C)C(C)C)ccc(c4oc3c(c(=O)c2N)C)C)C(=O)N[C@H]1C(C)C)C)C)C,1
Cc1ncc(n1CCO)N(=O)=O,1
Clc1c(S(=O)(=O)N)cc([C@]2(O)NC(=O)c3c2cccc3)cc1,0
OC1=C(O)C=C(CCC(=O)NCCCNCCCCNCCCNC(=O)CCC2=CC(O)=C(O)C=C2)C=C1,0
COC1=CC2=C(C=C1OC)C(=O)C(C2)CC3CCN(CC3)CC4=CC=CC=C4,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,1
[H]C1=C([H])C([H])=C(C([H])=C1([H]))C([H])(OC=2C([H])=C([H])C([H])=C([H])C=2C([H])([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H],1
N12C(C3CC(C4N(C3)CCCC4)C1)CCCC2,0
